gene,n_isoforms,n_keep,n_novel
A2M,14,7,5
A2M-AS1,4,3,2
A4GALT,12,10,8
AAAS,3,3,2
AACS,5,5,3
AAGAB,5,5,1
AAK1,13,3,2
AAMDC,2,2,0
AAMP,2,2,1
AAR2,4,4,0
AARS1,1,1,0
AARS2,5,5,0
AARSD1,1,1,0
AASDH,4,4,1
AASDHPPT,5,4,0
AASS,13,10,1
AATF,2,2,0
ABAT,7,7,2
ABAT_METTL22,1,1,1
ABCA1,3,0,0
ABCA2,1,1,1
ABCA3,2,2,0
ABCA5,3,3,0
ABCA6,9,7,5
ABCA7,1,1,0
ABCA8,6,4,3
ABCA9,2,1,0
ABCB1,2,2,0
ABCB10,2,1,0
ABCB10P3,1,1,0
ABCB4,12,7,5
ABCB6,3,3,1
ABCB7,9,9,1
ABCB8,4,4,0
ABCB9,4,4,1
ABCC1,2,2,1
ABCC10,5,5,4
ABCC4,3,2,0
ABCC5,11,9,4
ABCC8,1,1,0
ABCC9,13,11,4
ABCD1,1,1,0
ABCD2,11,11,0
ABCD3,9,4,1
ABCD4,5,4,3
ABCE1,9,9,3
ABCF1,3,2,0
ABCF2,7,7,3
ABCF3,5,5,2
ABCG1,2,2,0
ABCG2,5,4,3
ABHD10,2,2,0
ABHD11,4,4,2
ABHD12,5,4,3
ABHD13,4,4,0
ABHD14A,1,1,0
ABHD15,3,3,0
ABHD16A,3,3,2
ABHD17B,3,3,1
ABHD18,14,5,2
ABHD2,17,14,5
ABHD3,2,2,0
ABHD4,4,4,3
ABHD5,10,10,1
ABHD6,3,3,0
ABHD8,1,1,0
ABI1,15,15,2
ABI2,44,18,10
ABI3,1,1,0
ABI3BP,3,3,2
ABITRAM,3,3,1
ABL1,4,3,0
ABL2,1,0,0
ABLIM1,97,22,22
ABLIM2,12,1,1
ABLIM3,13,6,6
ABR,18,15,10
ABRA,6,6,2
ABRAXAS1,2,2,1
ABRAXAS2,1,1,0
ABT1,2,2,0
ABTB1,5,5,2
ABTB2,1,1,0
ACAA1,1,1,0
ACAA2,8,8,3
ACACA,1,1,0
ACACB,4,4,2
ACAD10,14,12,8
ACAD10_ALDH2,1,1,1
ACAD11,5,5,0
ACAD8,8,7,5
ACAD9,4,4,0
ACADL,1,1,0
ACADM,13,13,1
ACADS,1,1,0
ACADSB,14,13,4
ACADVL,16,14,11
ACAP2,6,5,2
ACAP3,7,2,2
ACAT1,5,4,1
ACAT1_CUL5,1,1,1
ACAT2,1,1,0
ACBD3,4,3,0
ACBD4,2,0,0
ACBD5,19,18,6
ACBD6,1,1,0
ACD,1,1,0
ACE,2,2,0
ACE2,9,7,2
ACER3,7,4,0
ACHE,1,1,0
ACIN1,17,11,5
ACKR4,1,1,0
ACLY,4,4,0
ACO1,7,7,0
ACO2,13,11,5
ACOT1,1,1,0
ACOT11,10,10,5
ACOT13,7,7,0
ACOT2,3,3,1
ACOT7,1,1,0
ACOT8,1,1,0
ACOT9,12,6,1
ACOX1,19,13,1
ACOX2,4,4,3
ACOX3,7,7,3
ACP1,3,3,0
ACP2,1,1,0
ACP6,1,1,0
ACSF2,1,1,0
ACSF3,2,1,0
ACSL1,26,24,15
ACSL3,18,17,3
ACSL4,11,10,0
ACSL5,2,2,0
ACSM3,2,2,0
ACSM5,1,1,0
ACSS1,8,7,5
ACSS2,7,5,3
ACSS3,7,7,0
ACTA1,17,12,8
ACTA2,1,1,0
ACTB,6,6,1
ACTC1,10,7,3
ACTG1,9,9,2
ACTL6A,2,2,0
ACTN1,15,9,0
ACTN2,50,19,10
ACTN4,10,4,1
ACTR10,3,3,0
ACTR1A,4,4,1
ACTR1B,2,2,1
ACTR2,17,12,4
ACTR3,12,12,1
ACTR3B,4,4,2
ACTR5,2,2,0
ACTR6,2,2,0
ACTR8,9,7,0
ACTRT3,2,2,0
ACVR1,5,5,2
ACVR1B,2,2,0
ACVR2A,3,2,0
ACVRL1,5,3,0
ACY1,1,1,0
ACYP2,3,2,1
ADA,1,1,0
ADA2,4,2,0
ADAL,13,9,3
ADAM10,9,7,2
ADAM11,3,2,2
ADAM15,9,7,3
ADAM17,9,8,0
ADAM19,2,1,0
ADAM21,1,1,1
ADAM23,9,8,4
ADAM8,1,1,0
ADAM9,16,13,3
ADAMTS1,10,9,0
ADAMTS15,3,2,1
ADAMTS2,2,2,0
ADAMTS4,1,1,0
ADAMTS5,2,1,0
ADAMTS7,3,3,2
ADAMTS8,1,1,0
ADAMTS9,1,1,0
ADAMTSL1,2,2,1
ADAMTSL3,2,1,1
ADAMTSL4,11,9,6
ADAMTSL5,8,8,8
ADAP1,1,1,0
ADAR,12,10,1
ADARB1,2,2,1
ADAT1,8,3,0
ADAT2,1,1,0
ADCK1,1,1,0
ADCK2,1,1,0
ADCK5,1,1,0
ADCY1,1,0,0
ADCY3,1,1,0
ADCY4,8,8,5
ADCY5,15,10,6
ADCY6,1,1,1
ADCY7,1,1,1
ADCY9,1,0,0
ADD1,21,18,12
ADD3,14,8,3
ADGRA3,2,2,1
ADGRD1,18,16,14
ADGRE5,7,4,1
ADGRF5,18,13,6
ADGRG1,5,5,3
ADGRG6,1,1,0
ADGRL2,11,11,10
ADGRL3,2,0,0
ADGRL4,2,2,0
ADH1B,6,6,0
ADH5,5,5,0
ADHFE1,11,11,9
ADI1,6,6,0
ADIPOQ,1,1,0
ADIPOR1,7,7,4
ADIPOR2,7,5,3
ADK,11,9,0
ADM,1,1,0
ADNP,1,1,0
ADNP2,2,1,0
ADO,4,4,0
ADORA1,6,6,3
ADORA2A,1,1,1
ADPGK,2,2,1
ADPRH,4,4,1
ADPRHL1,7,3,2
ADPRS,1,1,0
ADRA1A,11,2,2
ADRA2B,3,3,1
ADRB1,4,3,1
ADRB2,4,3,2
ADRB2_ENSG00000272411,2,1,1
ADRM1,1,1,0
