gene,png,n_tx
A2M,A2M.png,14
A2M-AS1,A2M-AS1.png,4
A4GALT,A4GALT.png,12
AAAS,AAAS.png,3
AACS,AACS.png,5
AAGAB,AAGAB.png,5
AAK1,AAK1.png,13
AAMDC,AAMDC.png,2
AAMP,AAMP.png,2
AAR2,AAR2.png,4
AARS1,AARS1.png,1
AARS2,AARS2.png,5
AARSD1,AARSD1.png,1
AASDH,AASDH.png,4
AASDHPPT,AASDHPPT.png,5
AASS,AASS.png,13
AATF,AATF.png,2
ABAT,ABAT.png,7
ABAT_METTL22,ABAT_METTL22.png,1
ABCA1,ABCA1.png,3
ABCA2,ABCA2.png,1
ABCA3,ABCA3.png,2
ABCA5,ABCA5.png,3
ABCA6,ABCA6.png,9
ABCA7,ABCA7.png,1
ABCA8,ABCA8.png,6
ABCA9,ABCA9.png,2
ABCB1,ABCB1.png,2
ABCB10,ABCB10.png,2
ABCB10P3,ABCB10P3.png,1
ABCB4,ABCB4.png,12
ABCB6,ABCB6.png,3
ABCB7,ABCB7.png,9
ABCB8,ABCB8.png,4
ABCB9,ABCB9.png,4
ABCC1,ABCC1.png,2
ABCC10,ABCC10.png,5
ABCC4,ABCC4.png,3
ABCC5,ABCC5.png,11
ABCC8,ABCC8.png,1
ABCC9,ABCC9.png,13
ABCD1,ABCD1.png,1
ABCD2,ABCD2.png,11
ABCD3,ABCD3.png,9
ABCD4,ABCD4.png,5
ABCE1,ABCE1.png,9
ABCF1,ABCF1.png,3
ABCF2,ABCF2.png,7
ABCF3,ABCF3.png,5
ABCG1,ABCG1.png,2
ABCG2,ABCG2.png,5
ABHD10,ABHD10.png,2
ABHD11,ABHD11.png,4
ABHD12,ABHD12.png,5
ABHD13,ABHD13.png,4
ABHD14A,ABHD14A.png,1
ABHD15,ABHD15.png,3
ABHD16A,ABHD16A.png,3
ABHD17B,ABHD17B.png,3
ABHD18,ABHD18.png,14
ABHD2,ABHD2.png,17
ABHD3,ABHD3.png,2
ABHD4,ABHD4.png,4
ABHD5,ABHD5.png,10
ABHD6,ABHD6.png,3
ABHD8,ABHD8.png,1
ABI1,ABI1.png,15
ABI2,ABI2.png,44
ABI3,ABI3.png,1
ABI3BP,ABI3BP.png,3
ABITRAM,ABITRAM.png,3
ABL1,ABL1.png,4
ABL2,ABL2.png,1
ABLIM1,ABLIM1.png,97
ABLIM2,ABLIM2.png,12
ABLIM3,ABLIM3.png,13
ABR,ABR.png,18
ABRA,ABRA.png,6
ABRAXAS1,ABRAXAS1.png,2
ABRAXAS2,ABRAXAS2.png,1
ABT1,ABT1.png,2
ABTB1,ABTB1.png,5
ABTB2,ABTB2.png,1
ACAA1,ACAA1.png,1
ACAA2,ACAA2.png,8
ACACA,ACACA.png,1
ACACB,ACACB.png,4
ACAD10,ACAD10.png,14
ACAD10_ALDH2,ACAD10_ALDH2.png,1
ACAD11,ACAD11.png,5
ACAD8,ACAD8.png,8
ACAD9,ACAD9.png,4
ACADL,ACADL.png,1
ACADM,ACADM.png,13
ACADS,ACADS.png,1
ACADSB,ACADSB.png,14
ACADVL,ACADVL.png,16
ACAP2,ACAP2.png,6
ACAP3,ACAP3.png,7
ACAT1,ACAT1.png,5
ACAT1_CUL5,ACAT1_CUL5.png,1
ACAT2,ACAT2.png,1
ACBD3,ACBD3.png,4
ACBD4,ACBD4.png,2
ACBD5,ACBD5.png,19
ACBD6,ACBD6.png,1
ACD,ACD.png,1
ACE,ACE.png,2
ACE2,ACE2.png,9
ACER3,ACER3.png,7
ACHE,ACHE.png,1
ACIN1,ACIN1.png,17
ACKR4,ACKR4.png,1
ACLY,ACLY.png,4
ACO1,ACO1.png,7
ACO2,ACO2.png,13
ACOT1,ACOT1.png,1
ACOT11,ACOT11.png,10
ACOT13,ACOT13.png,7
ACOT2,ACOT2.png,3
ACOT7,ACOT7.png,1
ACOT8,ACOT8.png,1
ACOT9,ACOT9.png,12
ACOX1,ACOX1.png,19
ACOX2,ACOX2.png,4
ACOX3,ACOX3.png,7
ACP1,ACP1.png,3
ACP2,ACP2.png,1
ACP6,ACP6.png,1
ACSF2,ACSF2.png,1
ACSF3,ACSF3.png,2
ACSL1,ACSL1.png,26
ACSL3,ACSL3.png,18
ACSL4,ACSL4.png,11
ACSL5,ACSL5.png,2
ACSM3,ACSM3.png,2
ACSM5,ACSM5.png,1
ACSS1,ACSS1.png,8
ACSS2,ACSS2.png,7
ACSS3,ACSS3.png,7
ACTA1,ACTA1.png,17
ACTA2,ACTA2.png,1
ACTB,ACTB.png,6
ACTC1,ACTC1.png,10
ACTG1,ACTG1.png,9
ACTL6A,ACTL6A.png,2
ACTN1,ACTN1.png,15
ACTN2,ACTN2.png,50
ACTN4,ACTN4.png,10
ACTR10,ACTR10.png,3
ACTR1A,ACTR1A.png,4
ACTR1B,ACTR1B.png,2
ACTR2,ACTR2.png,17
ACTR3,ACTR3.png,12
ACTR3B,ACTR3B.png,4
ACTR5,ACTR5.png,2
ACTR6,ACTR6.png,2
ACTR8,ACTR8.png,9
ACTRT3,ACTRT3.png,2
ACVR1,ACVR1.png,5
ACVR1B,ACVR1B.png,2
ACVR2A,ACVR2A.png,3
ACVRL1,ACVRL1.png,5
ACY1,ACY1.png,1
ACYP2,ACYP2.png,3
ADA,ADA.png,1
ADA2,ADA2.png,4
ADAL,ADAL.png,13
ADAM10,ADAM10.png,9
ADAM11,ADAM11.png,3
ADAM15,ADAM15.png,9
ADAM17,ADAM17.png,9
ADAM19,ADAM19.png,2
ADAM21,ADAM21.png,1
ADAM23,ADAM23.png,9
ADAM8,ADAM8.png,1
ADAM9,ADAM9.png,16
ADAMTS1,ADAMTS1.png,10
ADAMTS15,ADAMTS15.png,3
ADAMTS2,ADAMTS2.png,2
ADAMTS4,ADAMTS4.png,1
ADAMTS5,ADAMTS5.png,2
ADAMTS7,ADAMTS7.png,3
ADAMTS8,ADAMTS8.png,1
ADAMTS9,ADAMTS9.png,1
ADAMTSL1,ADAMTSL1.png,2
ADAMTSL3,ADAMTSL3.png,2
ADAMTSL4,ADAMTSL4.png,11
ADAMTSL5,ADAMTSL5.png,8
ADAP1,ADAP1.png,1
ADAR,ADAR.png,12
ADARB1,ADARB1.png,2
ADAT1,ADAT1.png,8
ADAT2,ADAT2.png,1
ADCK1,ADCK1.png,1
ADCK2,ADCK2.png,1
ADCK5,ADCK5.png,1
ADCY1,ADCY1.png,1
ADCY3,ADCY3.png,1
ADCY4,ADCY4.png,8
ADCY5,ADCY5.png,15
ADCY6,ADCY6.png,1
ADCY7,ADCY7.png,1
ADCY9,ADCY9.png,1
ADD1,ADD1.png,21
ADD3,ADD3.png,14
ADGRA3,ADGRA3.png,2
ADGRD1,ADGRD1.png,18
ADGRE5,ADGRE5.png,7
ADGRF5,ADGRF5.png,18
ADGRG1,ADGRG1.png,5
ADGRG6,ADGRG6.png,1
ADGRL2,ADGRL2.png,11
ADGRL3,ADGRL3.png,2
ADGRL4,ADGRL4.png,2
ADH1B,ADH1B.png,6
ADH5,ADH5.png,5
ADHFE1,ADHFE1.png,11
ADI1,ADI1.png,6
ADIPOQ,ADIPOQ.png,1
ADIPOR1,ADIPOR1.png,7
ADIPOR2,ADIPOR2.png,7
ADK,ADK.png,11
ADM,ADM.png,1
ADNP,ADNP.png,1
ADNP2,ADNP2.png,2
ADO,ADO.png,4
ADORA1,ADORA1.png,6
ADORA2A,ADORA2A.png,1
ADPGK,ADPGK.png,2
ADPRH,ADPRH.png,4
ADPRHL1,ADPRHL1.png,7
ADPRS,ADPRS.png,1
ADRA1A,ADRA1A.png,11
ADRA2B,ADRA2B.png,3
ADRB1,ADRB1.png,4
ADRB2,ADRB2.png,4
ADRB2_ENSG00000272411,ADRB2_ENSG00000272411.png,2
ADRM1,ADRM1.png,1
ADSL,ADSL.png,5
ADSS1,ADSS1.png,4
ADSS2,ADSS2.png,2
AEBP1,AEBP1.png,2
AEN,AEN.png,1
AFAP1,AFAP1.png,1
AFAP1L1,AFAP1L1.png,13
AFAP1L2,AFAP1L2.png,3
AFDN,AFDN.png,6
AFF1,AFF1.png,2
AFF3,AFF3.png,2
AFF4,AFF4.png,5
AFG1L,AFG1L.png,4
AFG3L2,AFG3L2.png,15
AFTPH,AFTPH.png,3
AGA,AGA.png,4
AGAP3,AGAP3.png,1
AGBL5,AGBL5.png,4
AGFG1,AGFG1.png,3
AGFG2,AGFG2.png,2
AGGF1,AGGF1.png,9
AGK,AGK.png,6
AGL,AGL.png,18
AGMO,AGMO.png,1
AGO1,AGO1.png,8
AGO2,AGO2.png,6
AGO3,AGO3.png,5
AGO4,AGO4.png,5
AGPAT1,AGPAT1.png,5
AGPAT2,AGPAT2.png,1
AGPAT3,AGPAT3.png,9
AGPAT5,AGPAT5.png,2
AGPS,AGPS.png,9
AGRN,AGRN.png,1
AGT,AGT.png,2
AGTPBP1,AGTPBP1.png,16
AGTRAP,AGTRAP.png,2
AHCTF1,AHCTF1.png,8
AHCY,AHCY.png,5
AHCYL1,AHCYL1.png,2
AHDC1,AHDC1.png,4
AHNAK,AHNAK.png,11
AHNAK2,AHNAK2.png,1
AHR,AHR.png,4
AHSA1,AHSA1.png,1
AIDA,AIDA.png,4
AIF1L,AIF1L.png,5
AIFM1,AIFM1.png,3
AIFM2,AIFM2.png,3
AIG1,AIG1.png,13
AIG1_ENSG00000217648,AIG1_ENSG00000217648.png,1
AIMP1,AIMP1.png,3
AIMP2,AIMP2.png,3
AIP,AIP.png,1
AJUBA,AJUBA.png,2
AK1,AK1.png,4
AK2,AK2.png,11
AK3,AK3.png,13
AK4,AK4.png,30
AK9,AK9.png,7
AKAP1,AKAP1.png,16
AKAP10,AKAP10.png,3
AKAP11,AKAP11.png,10
AKAP12,AKAP12.png,6
AKAP13,AKAP13.png,58
AKAP17A,AKAP17A.png,3
AKAP3,AKAP3.png,5
AKAP6,AKAP6.png,36
AKAP7,AKAP7.png,3
AKAP8,AKAP8.png,3
AKAP8L,AKAP8L.png,2
AKAP9,AKAP9.png,12
AKIP1,AKIP1.png,1
AKIRIN1,AKIRIN1.png,11
AKIRIN2,AKIRIN2.png,4
AKNA,AKNA.png,1
AKR1A1,AKR1A1.png,3
AKR1B1,AKR1B1.png,1
AKR1C2,AKR1C2.png,2
AKR1C3,AKR1C3.png,1
AKR7A2,AKR7A2.png,2
AKT1,AKT1.png,3
AKT1S1,AKT1S1.png,3
AKT2,AKT2.png,14
AKT3,AKT3.png,1
AKTIP,AKTIP.png,10
AKTIP_ENSG00000279722,AKTIP_ENSG00000279722.png,2
ALAD,ALAD.png,9
ALAS1,ALAS1.png,6
ALCAM,ALCAM.png,5
ALDH16A1,ALDH16A1.png,3
ALDH18A1,ALDH18A1.png,2
ALDH1A1,ALDH1A1.png,2
ALDH1A2,ALDH1A2.png,1
ALDH1A3,ALDH1A3.png,1
ALDH1B1,ALDH1B1.png,5
ALDH1L1,ALDH1L1.png,8
ALDH1L1-AS2,ALDH1L1-AS2.png,1
ALDH1L2,ALDH1L2.png,1
ALDH2,ALDH2.png,6
ALDH3A2,ALDH3A2.png,17
ALDH3B1,ALDH3B1.png,3
ALDH4A1,ALDH4A1.png,3
ALDH5A1,ALDH5A1.png,7
ALDH6A1,ALDH6A1.png,17
ALDH7A1,ALDH7A1.png,5
ALDH9A1,ALDH9A1.png,2
ALDOA,ALDOA.png,4
ALDOC,ALDOC.png,2
ALG1,ALG1.png,3
ALG10,ALG10.png,1
ALG10B,ALG10B.png,1
ALG11,ALG11.png,9
ALG12,ALG12.png,3
ALG13,ALG13.png,7
ALG14,ALG14.png,1
ALG2,ALG2.png,3
ALG3,ALG3.png,1
ALG6,ALG6.png,1
ALG8,ALG8.png,1
ALG9,ALG9.png,7
ALKBH1,ALKBH1.png,2
ALKBH3,ALKBH3.png,1
ALKBH4,ALKBH4.png,2
ALKBH5,ALKBH5.png,13
ALKBH7,ALKBH7.png,1
ALKBH8,ALKBH8.png,2
ALPK1,ALPK1.png,2
ALPK2,ALPK2.png,17
ALPK3,ALPK3.png,6
ALPL,ALPL.png,2
ALS2,ALS2.png,8
ALS2CL,ALS2CL.png,5
AMACR,AMACR.png,5
AMBRA1,AMBRA1.png,4
AMD1,AMD1.png,10
AMDHD2,AMDHD2.png,4
AMFR,AMFR.png,6
AMIGO1,AMIGO1.png,3
AMIGO3,AMIGO3.png,1
AMMECR1,AMMECR1.png,1
AMMECR1L,AMMECR1L.png,4
AMN1,AMN1.png,3
AMOTL1,AMOTL1.png,7
AMOTL2,AMOTL2.png,5
AMPD2,AMPD2.png,2
AMPD3,AMPD3.png,3
AMPH,AMPH.png,2
AMT,AMT.png,2
AMY2B,AMY2B.png,1
AMZ2,AMZ2.png,4
AMZ2P1,AMZ2P1.png,1
ANAPC1,ANAPC1.png,7
ANAPC10,ANAPC10.png,1
ANAPC11,ANAPC11.png,2
ANAPC13,ANAPC13.png,3
ANAPC15,ANAPC15.png,1
ANAPC16,ANAPC16.png,13
ANAPC2,ANAPC2.png,4
ANAPC4,ANAPC4.png,4
ANAPC5,ANAPC5.png,5
ANAPC7,ANAPC7.png,5
ANGEL1,ANGEL1.png,2
ANGEL2,ANGEL2.png,8
ANGPT1,ANGPT1.png,1
ANGPT2,ANGPT2.png,2
ANGPTL1,ANGPTL1.png,9
ANGPTL2,ANGPTL2.png,3
ANGPTL4,ANGPTL4.png,2
ANGPTL5,ANGPTL5.png,1
ANK1,ANK1.png,7
ANK2,ANK2.png,10
ANK3,ANK3.png,47
ANKFY1,ANKFY1.png,5
ANKH,ANKH.png,16
ANKHD1,ANKHD1.png,28
ANKHD1-EIF4EBP3,ANKHD1-EIF4EBP3.png,1
ANKIB1,ANKIB1.png,3
