gene,chrom,strand,start,end,n_tx,plot_start,plot_end,span
A2M,chr12,-,9067421,9116192,14,9065421,9118192,52771
A2M-AS1,chr12,+,9065107,9068686,4,9063107,9070686,7579
A4GALT,chr22,-,42692116,42721282,12,42690116,42723282,33166
AAAS,chr12,-,53307457,53321586,3,53305457,53323586,18129
AACS,chr12,+,125065377,125143315,5,125063377,125145315,81938
AAGAB,chr15,-,67200460,67254657,5,67198460,67256657,58197
AAK1,chr2,-,69457998,69674054,13,69455998,69676054,220056
AAMDC,chr11,+,77821148,77872351,2,77819148,77874351,55203
AAMP,chr2,-,218264130,218270137,2,218262130,218272137,10007
AAR2,chr20,+,36236464,36256931,4,36234464,36258931,24467
AARS1,chr16,-,70252298,70289527,1,70250298,70291527,41229
AARS2,chr6,-,44299449,44313339,5,44297449,44315339,17890
AARSD1,chr17,-,42950528,42964454,1,42948528,42966454,17926
AASDH,chr4,-,56337482,56387461,4,56335482,56389461,53979
AASDHPPT,chr11,+,106077527,106098709,5,106075527,106100709,25182
AASS,chr7,-,122073546,122144282,13,122071546,122146282,74736
AATF,chr17,+,36948954,37056870,2,36946954,37058870,111916
ABAT,chr16,+,8674589,8784567,7,8672589,8786567,113978
ABAT_METTL22,chr16,+,8621688,8784574,1,8619688,8786574,166886
ABCA1,chr9,-,104781130,104928155,3,104779130,104930155,151025
ABCA2,chr9,-,137007227,137028222,1,137005227,137030222,24995
ABCA3,chr16,-,2275878,2340740,2,2273878,2342740,68862
ABCA5,chr17,-,69246652,69327153,3,69244652,69329153,84501
ABCA6,chr17,-,69077815,69141895,9,69075815,69143895,68080
ABCA7,chr19,+,1040107,1065569,1,1038107,1067569,29462
ABCA8,chr17,-,68867292,68955470,6,68865292,68957470,92178
ABCA9,chr17,-,68974624,69060947,2,68972624,69062947,90323
ABCB1,chr7,-,87503341,87713323,2,87501341,87715323,213982
ABCB10,chr1,-,229516583,229558696,2,229514583,229560696,46113
ABCB10P3,chr15,+,28403117,28406809,1,28401117,28408809,7692
ABCB4,chr7,-,87402045,87475900,12,87400045,87477900,77855
ABCB6,chr2,-,219209767,219219006,3,219207767,219221006,13239
ABCB7,chrX,-,75044952,75156285,9,75042952,75158285,115333
ABCB8,chr7,+,151028426,151047780,4,151026426,151049780,23354
ABCB9,chr12,-,122928994,122966451,4,122926994,122968451,41457
ABCC1,chr16,+,15949628,16143052,2,15947628,16145052,197424
ABCC10,chr6,+,43427541,43450426,5,43425541,43452426,26885
ABCC4,chr13,-,95019836,95301451,3,95017836,95303451,285615
ABCC5,chr3,-,183919938,184017934,11,183917938,184019934,101996
ABCC8,chr11,-,17392886,17476839,1,17390886,17478839,87953
ABCC9,chr12,-,21797393,21941426,13,21795393,21943426,148033
ABCD1,chrX,+,153724856,153744746,1,153722856,153746746,23890
