isoform,ref_enst,structural_category
PB.10.1,ENST00000379198.5,full-splice_match
PB.100.1,ENST00000346436.11,full-splice_match
PB.100.2,ENST00000346436.11,incomplete-splice_match
PB.1000.1,ENST00000287859.11,full-splice_match
PB.1000.2,ENST00000287859.11,full-splice_match
PB.1000.3,ENST00000287859.11,full-splice_match
PB.1000.4,ENST00000419367.8,full-splice_match
PB.1000.5,ENST00000287859.11,full-splice_match
PB.10001.1,ENST00000376352.6,incomplete-splice_match
PB.10002.3,ENST00000299335.8,full-splice_match
PB.10002.4,ENST00000299335.8,full-splice_match
PB.10002.5,ENST00000299335.8,full-splice_match
PB.10002.6,ENST00000299335.8,full-splice_match
PB.10002.7,ENST00000299335.8,full-splice_match
PB.10004.1,ENST00000649377.1,full-splice_match
PB.10004.2,ENST00000262065.8,full-splice_match
PB.10005.1,ENST00000226067.10,full-splice_match
PB.10005.2,ENST00000226067.10,full-splice_match
PB.10005.3,ENST00000226067.10,full-splice_match
PB.10005.4,ENST00000573945.5,full-splice_match
PB.10005.5,ENST00000573945.5,full-splice_match
PB.10005.6,ENST00000573945.5,full-splice_match
PB.10005.7,ENST00000575345.5,full-splice_match
PB.10005.8,ENST00000575345.5,full-splice_match
PB.10005.9,ENST00000575345.5,full-splice_match
PB.10006.1,ENST00000575734.5,full-splice_match
PB.10006.2,ENST00000575734.5,full-splice_match
PB.10007.1,ENST00000316881.9,full-splice_match
PB.10008.1,ENST00000268896.10,full-splice_match
PB.10009.1,ENST00000262288.8,full-splice_match
PB.1001.1,ENST00000367478.9,incomplete-splice_match
PB.1001.10,ENST00000367478.9,incomplete-splice_match
PB.1001.11,ENST00000367478.9,incomplete-splice_match
PB.1001.12,ENST00000367478.9,incomplete-splice_match
PB.1001.13,ENST00000613151.1,incomplete-splice_match
PB.1001.15,ENST00000613151.1,incomplete-splice_match
PB.1001.16,ENST00000613151.1,incomplete-splice_match
PB.1001.2,ENST00000367478.9,incomplete-splice_match
PB.1001.3,ENST00000367478.9,incomplete-splice_match
PB.1001.4,ENST00000367478.9,incomplete-splice_match
PB.1001.5,ENST00000367478.9,incomplete-splice_match
PB.1001.6,ENST00000367478.9,incomplete-splice_match
PB.1001.7,ENST00000367478.9,incomplete-splice_match
PB.1001.8,ENST00000367478.9,incomplete-splice_match
PB.1001.9,ENST00000367478.9,incomplete-splice_match
PB.10010.10,ENST00000571629.5,full-splice_match
PB.10010.11,ENST00000571629.5,full-splice_match
PB.10010.2,ENST00000337714.8,full-splice_match
PB.10010.5,ENST00000337714.8,full-splice_match
PB.10010.6,ENST00000337714.8,full-splice_match
PB.10010.7,ENST00000337714.8,full-splice_match
PB.10011.1,ENST00000240316.5,full-splice_match
PB.10012.2,ENST00000313608.13,full-splice_match
PB.10013.1,ENST00000577830.6,full-splice_match
PB.10013.2,ENST00000577830.6,full-splice_match
PB.10014.1,ENST00000581208.2,full-splice_match
PB.10014.2,ENST00000581208.2,full-splice_match
PB.10014.3,ENST00000581208.2,full-splice_match
PB.10014.7,ENST00000581208.2,full-splice_match
PB.10014.9,ENST00000581208.2,full-splice_match
PB.10015.12,ENST00000284073.7,full-splice_match
PB.10015.14,ENST00000284073.7,full-splice_match
PB.10015.21,ENST00000284073.7,full-splice_match
PB.10015.23,ENST00000284073.7,incomplete-splice_match
PB.10015.24,ENST00000284073.7,incomplete-splice_match
PB.10015.5,ENST00000284073.7,full-splice_match
PB.10015.6,ENST00000284073.7,full-splice_match
PB.10016.1,ENST00000624641.2,full-splice_match
PB.10017.1,ENST00000258962.5,full-splice_match
PB.10017.2,ENST00000258962.5,full-splice_match
PB.10017.3,ENST00000258962.5,full-splice_match
PB.10017.4,ENST00000584773.5,full-splice_match
PB.10017.6,ENST00000258962.5,full-splice_match
PB.10017.7,ENST00000582730.6,full-splice_match
PB.10017.9,ENST00000584773.5,full-splice_match
PB.10018.1,ENST00000675753.2,full-splice_match
PB.10018.2,ENST00000393119.7,full-splice_match
PB.10018.3,ENST00000678463.1,full-splice_match
PB.10018.4,ENST00000678641.1,full-splice_match
PB.10018.5,ENST00000580127.6,full-splice_match
PB.10019.1,ENST00000225275.4,incomplete-splice_match
PB.1002.1,ENST00000367466.4,full-splice_match
PB.10020.1,ENST00000225504.8,full-splice_match
PB.10020.2,ENST00000225504.8,full-splice_match
PB.10021.1,ENST00000407977.7,full-splice_match
PB.10021.2,ENST00000584437.5,full-splice_match
PB.10022.1,ENST00000323456.9,full-splice_match
PB.10022.2,ENST00000682306.1,full-splice_match
PB.10022.5,ENST00000323456.9,full-splice_match
PB.10023.1,ENST00000579991.3,full-splice_match
PB.10024.3,ENST00000317256.10,full-splice_match
PB.10025.1,ENST00000393066.7,full-splice_match
PB.10025.2,ENST00000262294.12,full-splice_match
PB.10025.9,ENST00000262294.12,incomplete-splice_match
PB.10026.1,ENST00000337432.9,full-splice_match
PB.10026.2,ENST00000337432.9,full-splice_match
PB.10027.2,ENST00000300917.10,incomplete-splice_match
PB.10027.3,ENST00000300917.10,full-splice_match
PB.10028.1,ENST00000578105.1,full-splice_match
PB.10028.2,ENST00000330137.12,full-splice_match
PB.10028.3,ENST00000330137.12,full-splice_match
PB.10028.4,ENST00000578105.1,full-splice_match
PB.10028.5,ENST00000330137.12,full-splice_match
PB.10029.1,ENST00000312655.9,full-splice_match
PB.10029.2,ENST00000581865.1,full-splice_match
PB.10029.3,ENST00000312655.9,full-splice_match
PB.10030.1,ENST00000251241.9,full-splice_match
PB.10030.2,ENST00000251241.9,full-splice_match
PB.10030.3,ENST00000251241.9,full-splice_match
PB.10032.1,ENST00000472651.6,full-splice_match
PB.10032.10,ENST00000472651.6,incomplete-splice_match
PB.10032.12,ENST00000472651.6,incomplete-splice_match
PB.10032.13,ENST00000472651.6,full-splice_match
PB.10032.2,ENST00000269122.8,full-splice_match
PB.10032.3,ENST00000472651.6,full-splice_match
PB.10032.4,ENST00000472651.6,full-splice_match
PB.10032.5,ENST00000472651.6,full-splice_match
PB.10032.6,ENST00000393043.5,incomplete-splice_match
